luna	date	run	trial	xdat	lat	Count
10152	20100514	4	13	203	349	1
10152	20100514	4	14	204	429	1
10152	20100514	4	15	129	374	1
10152	20100514	4	16	150	389	1
10152	20100514	4	17	128	397	1
10152	20100514	4	18	204	372	1
10152	20100514	4	19	203	401	1
10152	20100514	4	20	148	473	1
10152	20100514	4	21	149	NA	-1
10152	20100514	4	22	201	529	1
10152	20100514	4	23	203	NA	-1
10152	20100514	4	24	127	465	1
10152	20100514	4	25	150	349	1
10152	20100514	4	26	147	397	1
10152	20100514	4	27	148	397	1
10152	20100514	4	28	128	525	1
10152	20100514	4	29	127	469	1
10152	20100514	4	30	127	409	1
10152	20100514	4	31	147	549	1
10152	20100514	4	32	204	517	1
10152	20100514	4	33	148	433	1
10152	20100514	4	34	201	401	1
10152	20100514	4	35	204	449	1
10152	20100514	4	36	130	421	1
10152	20100514	4	37	128	401	1
10152	20100514	4	38	202	409	1
10152	20100514	4	39	147	381	1
10152	20100514	4	40	150	389	1
10152	20100514	4	41	201	381	1
10152	20100514	4	42	130	405	1
10152	20111123	1	1	201	429	1
10152	20111123	1	2	149	329	1
10152	20111123	1	3	129	357	1
10152	20111123	1	4	203	385	1
10152	20111123	1	5	201	425	1
10152	20111123	1	6	130	353	1
10152	20111123	1	7	201	372	1
10152	20111123	1	8	149	325	1
10152	20111123	1	9	147	361	1
10152	20111123	1	10	202	376	1
10152	20111123	1	11	128	349	1
10152	20111123	1	12	129	357	1
10152	20111123	1	13	127	421	1
10152	20111123	1	14	150	365	1
10152	20111123	1	15	130	381	1
10152	20111123	1	16	201	NA	-1
10152	20111123	1	17	150	329	1
10152	20111123	1	18	128	397	1
10152	20111123	1	19	204	365	1
10152	20111123	1	20	150	341	1
10152	20111123	1	21	203	369	1
10152	20111123	1	22	130	333	1
10152	20111123	1	23	203	360	1
10152	20111123	1	24	204	349	1
10152	20111123	1	25	148	397	1
10152	20111123	1	26	147	409	1
10152	20111123	1	27	127	397	1
10152	20111123	1	28	147	401	1
10152	20111123	1	29	127	437	1
10152	20111123	1	30	204	421	1
10152	20111123	1	31	147	449	1
10152	20111123	1	32	150	369	1
10152	20111123	1	33	148	397	1
10152	20111123	1	34	130	341	1
10152	20111123	1	35	128	417	1
10152	20111123	1	36	204	353	1
10152	20111123	1	37	202	457	1
10152	20111123	1	38	127	381	1
10152	20111123	1	39	202	421	1
10152	20111123	1	40	129	401	1
10152	20111123	1	41	148	333	2
10152	20111123	1	42	149	369	1
10152	20111123	2	1	127	361	1
10152	20111123	2	2	147	401	1
10152	20111123	2	3	127	NA	-1
10152	20111123	2	4	204	497	1
10152	20111123	2	5	150	317	1
10152	20111123	2	6	129	225	1
10152	20111123	2	7	150	385	1
10152	20111123	2	8	147	409	1
10152	20111123	2	9	203	NA	-1
10152	20111123	2	10	149	385	1
10152	20111123	2	11	130	493	1
10152	20111123	2	12	127	401	1
10152	20111123	2	13	201	405	1
10152	20111123	2	14	202	397	1
10152	20111123	2	15	203	NA	-1
10152	20111123	2	16	148	377	1
10152	20111123	2	17	148	381	1
10152	20111123	2	18	204	405	1
10152	20111123	2	19	148	393	1
10152	20111123	2	20	127	437	1
10152	20111123	2	21	129	353	1
10152	20111123	2	22	128	361	1
10152	20111123	2	23	130	381	1
10152	20111123	2	24	204	385	1
10152	20111123	2	25	149	365	1
10152	20111123	2	26	149	337	1
10152	20111123	2	27	204	385	1
10152	20111123	2	28	128	389	1
10152	20111123	2	29	130	389	1
