luna	date	ncor	n	acc	ndropped	meanlat
10851	20120921	82	168	0.488095238095238	69	553.19512195122
10851	20131113	155	168	0.922619047619048	1	472.174193548387
10852	20101213	86	96	0.895833333333333	7	444.779069767442
10852	20120924	120	168	0.714285714285714	37	506.716666666667
10852	20140207	133	168	0.791666666666667	33	398.481203007519
10869	20110120	147	168	0.875	14	391.210884353742
10869	20121005	165	168	0.982142857142857	0	368.624242424242
10870	20110107	116	168	0.69047619047619	46	371.034482758621
10871	20110103	128	168	0.761904761904762	15	524.890625
10871	20121117	0	168	0	168	NA
10872	20110113	122	168	0.726190476190476	44	373.819672131148
10872	20120927	138	168	0.821428571428571	28	374.427536231884
10872	20131202	97	126	0.76984126984127	27	349.886597938144
10873	20110209	162	168	0.964285714285714	4	376.728395061728
10873	20120807	159	168	0.946428571428571	9	400.861635220126
10873	20140217	162	168	0.964285714285714	5	403.351851851852
10874	20110119	147	168	0.875	13	407.12925170068
10875	20110402	126	168	0.75	33	427.531746031746
10877	20110212	85	168	0.505952380952381	81	443.588235294118
10879	20110331	145	168	0.863095238095238	9	387.048275862069
10879	20121110	163	168	0.970238095238095	3	368.226993865031
10880	20110407	116	168	0.69047619047619	12	468.474137931034
10880	20120926	100	126	0.793650793650794	3	566.43
10880	20140311	148	168	0.880952380952381	10	446.804054054054
10881	20110520	137	168	0.81547619047619	29	443.496350364964
10881	20121210	100	142	0.704225352112676	34	399.3
10887	20110531	152	168	0.904761904761905	14	423.671052631579
10887	20121107	133	168	0.791666666666667	30	410.518796992481
10888	20110608	146	168	0.869047619047619	18	521.123287671233
10959	20130815	150	168	0.892857142857143	12	411.086666666667
11055	20121102	115	168	0.68452380952381	23	447.713043478261
11056	20121023	157	168	0.93452380952381	11	391.955414012739
11058	20121109	121	168	0.720238095238095	26	442.809917355372
11059	20121022	132	168	0.785714285714286	22	413.189393939394
11062	20121102	95	168	0.56547619047619	56	356.852631578947
11065	20121107	114	168	0.678571428571429	25	508.122807017544
11066	20121109	156	168	0.928571428571429	3	434.102564102564
11070	20121116	0	168	0	168	NA
11074	20121130	113	168	0.672619047619048	44	432.088495575221
11075	20130416	153	168	0.910714285714286	10	361.653594771242
11078	20121114	159	168	0.946428571428571	6	393.937106918239
11082	20121130	129	168	0.767857142857143	31	658.922480620155
11084	20121213	123	168	0.732142857142857	42	425.016260162602
11087	20121204	127	168	0.755952380952381	24	406.031496062992
11094	20121221	138	168	0.821428571428571	20	426.04347826087
11106	20130109	101	168	0.601190476190476	64	466.514851485149
11113	20130117	146	168	0.869047619047619	16	437.486301369863
11114	20130124	60	168	0.357142857142857	101	346.333333333333
11123	20130211	104	168	0.619047619047619	60	405.625
11129	20130320	123	168	0.732142857142857	26	388.886178861789
11130	20130218	101	168	0.601190476190476	58	378.70297029703
11133	20130222	111	168	0.660714285714286	44	485.990990990991
11137	20130329	116	168	0.69047619047619	41	385.603448275862
11140	20130415	133	168	0.791666666666667	30	438.571428571429
11141	20130308	90	126	0.714285714285714	30	416.755555555556
11145	20130313	151	168	0.898809523809524	9	458.523178807947
11146	20130314	26	84	0.30952380952381	28	524.961538461538
11148	20130328	154	168	0.916666666666667	14	347.227272727273
11149	20130403	105	168	0.625	62	331.838095238095
11152	20130501	135	168	0.803571428571429	27	450.355555555556
11156	20130426	100	168	0.595238095238095	52	476.05
11157	20130501	92	168	0.547619047619048	36	491.521739130435
11160	20130521	108	168	0.642857142857143	57	348.083333333333
11162	20130521	112	168	0.666666666666667	45	369.741071428571
11165	20140606	155	168	0.922619047619048	8	422.154838709677
11167	20130628	99	137	0.722627737226277	25	438.989898989899
11168	20130613	139	168	0.827380952380952	24	422.489208633094
11176	20130703	164	168	0.976190476190476	3	376.701219512195
11178	20131111	155	168	0.922619047619048	11	447.045161290323
11185	20130627	137	168	0.81547619047619	14	462.547445255474
11187	20130802	54	168	0.321428571428571	105	424.37037037037
11191	20130710	132	168	0.785714285714286	33	414.204545454545
11197	20130909	116	168	0.69047619047619	34	426.862068965517
11198	20130812	148	168	0.880952380952381	16	427.797297297297
11211	20131016	17	42	0.404761904761905	11	437.941176470588
11212	20130913	137	168	0.81547619047619	8	507.270072992701
11215	20131030	143	168	0.851190476190476	12	435.846153846154
11218	20131015	153	168	0.910714285714286	9	455.150326797386
11219	20131115	104	168	0.619047619047619	11	464.576923076923
11220	20131101	140	168	0.833333333333333	10	417.992857142857
11221	20131031	163	168	0.970238095238095	4	399.490797546012
11224	20131107	148	168	0.880952380952381	17	506.22972972973
11226	20131114	148	168	0.880952380952381	15	368.527027027027
11227	20131213	158	168	0.94047619047619	7	455.924050632911
11228	20131212	134	168	0.797619047619048	27	392.94776119403
11230	20131127	138	168	0.821428571428571	16	439.036231884058
11232	20140117	133	168	0.791666666666667	10	389.511278195489
11234	20140110	149	168	0.886904761904762	18	404.557046979866
11237	20131220	134	168	0.797619047619048	26	394.708955223881
11239	20131231	145	168	0.863095238095238	21	395.468965517241
11241	20140204	134	168	0.797619047619048	17	507.410447761194
11242	20140124	111	168	0.660714285714286	50	463.072072072072
