luna	date	rtype	ncor	n	acc	ndropped	meanlat
10623	20120111	neut	40	56	0.714285714285714	14	401.925
10623	20120111	rew	40	56	0.714285714285714	14	403.7
10625	20090226	pun	48	56	0.857142857142857	8	378.208333333333
10625	20090226	neut	49	56	0.875	7	384.959183673469
10625	20090226	rew	51	56	0.910714285714286	4	420.647058823529
10626	20090214	pun	36	56	0.642857142857143	6	531.305555555556
10626	20090214	neut	39	56	0.696428571428571	9	506.358974358974
10626	20090214	rew	32	56	0.571428571428571	10	518.0625
10626	20100916	pun	50	56	0.892857142857143	2	468.9
10626	20100916	neut	46	56	0.821428571428571	5	461
10626	20100916	rew	52	56	0.928571428571429	3	488.923076923077
10626	20121008	pun	54	56	0.964285714285714	0	391.685185185185
10626	20121008	neut	53	56	0.946428571428571	0	406.905660377359
10626	20121008	rew	52	56	0.928571428571429	3	416.769230769231
10627	20090214	pun	31	56	0.553571428571429	23	485.387096774194
10627	20090214	neut	32	56	0.571428571428571	23	529.46875
10627	20090214	rew	30	56	0.535714285714286	23	476.466666666667
10627	20101123	pun	44	56	0.785714285714286	11	488.659090909091
10627	20101123	neut	37	56	0.660714285714286	17	486.675675675676
10627	20101123	rew	45	56	0.803571428571429	8	514.777777777778
10627	20121219	pun	42	56	0.75	14	425.119047619048
10627	20121219	neut	44	56	0.785714285714286	11	440.272727272727
10627	20121219	rew	38	56	0.678571428571429	17	429.789473684211
10628	20090214	pun	7	56	0.125	47	461
10628	20090214	neut	11	56	0.196428571428571	45	415.181818181818
10628	20090214	rew	8	56	0.142857142857143	44	419.5
10629	20090203	pun	43	56	0.767857142857143	3	366
10629	20090203	neut	48	56	0.857142857142857	5	369.541666666667
10629	20090203	rew	46	56	0.821428571428571	6	376.478260869565
10629	20100929	pun	50	56	0.892857142857143	3	357.88
10629	20100929	neut	47	56	0.839285714285714	5	350.702127659574
10629	20100929	rew	50	56	0.892857142857143	6	347.8
10629	20120317	pun	51	56	0.910714285714286	3	334.941176470588
10629	20120317	neut	46	56	0.821428571428571	8	341.391304347826
10629	20120317	rew	43	56	0.767857142857143	10	361.837209302326
10633	20090228	pun	50	56	0.892857142857143	0	359.56
10633	20090228	neut	45	56	0.803571428571429	2	347.6
10633	20090228	rew	45	56	0.803571428571429	2	351.777777777778
10635	20090210	pun	53	56	0.946428571428571	2	439.547169811321
10635	20090210	neut	51	56	0.910714285714286	4	425.901960784314
10635	20090210	rew	49	56	0.875	6	440.265306122449
10636	20090307	pun	56	56	1	0	386.892857142857
10636	20090307	neut	52	56	0.928571428571429	3	395.288461538462
10636	20090307	rew	54	56	0.964285714285714	2	384.981481481481
10636	20100828	pun	52	56	0.928571428571429	1	364.923076923077
10636	20100828	neut	51	56	0.910714285714286	3	358.176470588235
10636	20100828	rew	47	56	0.839285714285714	8	360.872340425532
10636	20131125	pun	52	56	0.928571428571429	4	353
10636	20131125	neut	50	56	0.892857142857143	6	355.18
10636	20131125	rew	46	56	0.821428571428571	9	360.478260869565
10637	20090307	pun	29	56	0.517857142857143	16	463.344827586207
10637	20090307	neut	27	56	0.482142857142857	20	506.444444444444
10637	20090307	rew	23	56	0.410714285714286	21	504.347826086957
10637	20100828	pun	32	56	0.571428571428571	13	467
10637	20100828	neut	34	56	0.607142857142857	11	428.735294117647
10637	20100828	rew	17	56	0.303571428571429	21	471.823529411765
10637	20121112	pun	27	56	0.482142857142857	25	377.407407407407
10637	20121112	neut	22	56	0.392857142857143	30	383.727272727273
10637	20121112	rew	25	56	0.446428571428571	26	365.16
10638	20090312	pun	51	56	0.910714285714286	0	416.490196078431
10638	20090312	neut	44	56	0.785714285714286	5	417.75
10638	20090312	rew	47	56	0.839285714285714	4	410.531914893617
10638	20100809	pun	51	56	0.910714285714286	3	412.921568627451
10638	20100809	neut	49	56	0.875	4	422.102040816327
10638	20100809	rew	49	56	0.875	3	394.265306122449
10638	20120216	pun	44	56	0.785714285714286	9	387.636363636364
10638	20120216	neut	39	56	0.696428571428571	17	394.871794871795
10638	20120216	rew	45	56	0.803571428571429	10	390.444444444444
10644	20090323	pun	29	56	0.517857142857143	12	437.275862068966
10644	20090323	neut	31	56	0.553571428571429	8	437.064516129032
10644	20090323	rew	36	56	0.642857142857143	11	480
10644	20101111	pun	64	84	0.761904761904762	8	523.171875
10644	20101111	neut	72	84	0.857142857142857	8	465.791666666667
10644	20101111	rew	65	84	0.773809523809524	13	466.107692307692
10644	20120516	pun	43	56	0.767857142857143	12	426.627906976744
10644	20120516	neut	40	56	0.714285714285714	11	428.625
10644	20120516	rew	46	56	0.821428571428571	8	412.108695652174
10646	20090410	pun	31	56	0.553571428571429	10	662.096774193548
10646	20090410	neut	30	56	0.535714285714286	8	576.033333333333
10646	20090410	rew	28	56	0.5	13	638
10648	20100603	pun	8	56	0.142857142857143	19	511
10648	20100603	neut	11	56	0.196428571428571	19	511.090909090909
10648	20100603	rew	13	56	0.232142857142857	26	434.153846153846
10652	20090410	pun	40	56	0.714285714285714	13	500.925
10652	20090410	neut	41	56	0.732142857142857	10	527.560975609756
10652	20090410	rew	38	56	0.678571428571429	13	544
10652	20101016	pun	53	56	0.946428571428571	2	464.358490566038
10652	20101016	neut	45	56	0.803571428571429	8	472.022222222222
10652	20101016	rew	50	56	0.892857142857143	4	482.5
10653	20090401	pun	51	56	0.910714285714286	1	365.823529411765
10653	20090401	neut	54	56	0.964285714285714	0	399.944444444444
10653	20090401	rew	44	56	0.785714285714286	2	388.795454545455
10653	20101001	pun	50	56	0.892857142857143	6	350.76
10653	20101001	neut	50	56	0.892857142857143	5	360.34
10653	20101001	rew	49	56	0.875	5	359.918367346939
10653	20121205	pun	33	56	0.589285714285714	21	369.848484848485
10653	20121205	neut	40	56	0.714285714285714	13	368
10653	20121205	rew	39	56	0.696428571428571	15	392.794871794872
10654	20090408	pun	37	56	0.660714285714286	16	441.567567567568
10654	20090408	neut	35	56	0.625	19	446.542857142857
10654	20090408	rew	37	56	0.660714285714286	14	442.351351351351
10654	20100920	pun	45	56	0.803571428571429	9	461.866666666667
10654	20100920	neut	43	56	0.767857142857143	7	461.906976744186
10654	20100920	rew	41	56	0.732142857142857	8	489.487804878049
10654	20120430	pun	38	56	0.678571428571429	12	468.921052631579
10654	20120430	neut	43	56	0.767857142857143	10	461.883720930233
10654	20120430	rew	35	56	0.625	16	444.314285714286
10655	20090408	pun	38	56	0.678571428571429	15	391.5
10655	20090408	neut	34	56	0.607142857142857	21	396.852941176471
10655	20090408	rew	29	56	0.517857142857143	22	332.413793103448
10656	20090410	pun	10	28	0.357142857142857	11	366.2
10656	20090410	neut	10	28	0.357142857142857	13	398
10656	20090410	rew	6	28	0.214285714285714	14	342.333333333333
10661	20090507	pun	29	42	0.69047619047619	3	388.034482758621
10661	20090507	neut	35	42	0.833333333333333	2	398.457142857143
10661	20090507	rew	32	42	0.761904761904762	3	403.71875
10661	20110325	pun	38	56	0.678571428571429	16	413.210526315789
10661	20110325	neut	36	56	0.642857142857143	18	426.277777777778
10661	20110325	rew	35	56	0.625	21	416.8
10661	20120406	pun	47	56	0.839285714285714	3	405.829787234043
10661	20120406	neut	53	56	0.946428571428571	2	403.924528301887
10661	20120406	rew	50	56	0.892857142857143	4	391.66
10662	20090507	pun	42	56	0.75	6	461.261904761905
10662	20090507	neut	38	56	0.678571428571429	3	456.526315789474
10662	20090507	rew	39	56	0.696428571428571	3	486.282051282051
10662	20101123	pun	34	56	0.607142857142857	10	463.5
10662	20101123	neut	39	56	0.696428571428571	9	509.48717948718
10662	20101123	rew	36	56	0.642857142857143	8	475.194444444444
10662	20120406	pun	49	56	0.875	2	406.551020408163
10662	20120406	neut	48	56	0.857142857142857	2	405.25
10662	20120406	rew	50	56	0.892857142857143	2	419.06
10664	20090417	pun	49	56	0.875	7	356.673469387755
10664	20090417	neut	49	56	0.875	7	369.816326530612
